# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
23030 18.07763 1.32430 0.95399 0.06647 0.58176 0.19374 0.55
22959 18.38726 2.92070 0.89599 0.10215 0.55594 0.18036 0.51
16735 18.42266 2.93208 0.89034 0.10278 0.55604 0.17735 0.51
20785 18.64477 1.36458 0.89503 0.06607 0.54680 0.20145 0.56
16621 16.18699 2.91514 1.03416 0.02426 0.52480 0.21040 0.50
10633 16.48004 1.45438 1.03061 0.02710 0.54753 0.23578 0.45
19714 17.52598 2.85739 1.00297 0.06417 0.52597 0.20252 0.50
16811 19.30856 2.93556 0.77336 0.06222 0.50642 0.16210 0.52
23372 16.17449 1.46263 1.03332 0.02492 0.57872 0.22497 0.44
60852 16.76917 1.44420 1.02621 0.03141 0.57636 0.22183 0.44
25488 16.83868 1.44749 1.02483 0.03288 0.56180 0.22225 0.45
21126 17.02144 1.45101 1.02016 0.03725 0.55421 0.22053 0.45
27210 17.15858 2.85770 1.02025 0.04452 0.52323 0.21002 0.50
8750 17.16256 1.45887 1.01556 0.04131 0.55978 0.21827 0.47
15756 17.25065 2.86222 1.01700 0.04893 0.52379 0.20915 0.50
5941 17.34508 1.44705 1.00718 0.04772 0.57195 0.21438 0.47
25637 17.84804 1.44466 0.97382 0.06313 0.57737 0.19996 0.51
16671 19.01086 2.89756 0.79760 0.06659 0.53188 0.15948 0.51
60845 15.95652 1.44217 1.03453 0.02453 0.58044 0.22807 0.44
16602 16.30717 2.93479 1.03345 0.02456 0.52429 0.20923 0.50
22671 16.34134 1.46336 1.03199 0.02596 0.56000 0.22754 0.46
24194 16.74206 1.43985 1.02673 0.03078 0.58002 0.22182 0.44
16709 17.00482 2.93073 1.02412 0.03884 0.52267 0.20801 0.50
24002 17.13245 1.43990 1.01671 0.04041 0.56672 0.21635 0.46
25805 17.15527 1.46123 1.01592 0.04101 0.56378 0.21610 0.47
20720 17.56504 1.44126 0.99477 0.05459 0.57539 0.20456 0.49
27625 16.40930 1.45785 1.03135 0.02637 0.55616 0.23086 0.45
20868 16.92062 1.46144 1.02296 0.03481 0.55191 0.22908 0.45
6674 17.18574 1.43649 1.01442 0.04219 0.56501 0.21802 0.47
10652 17.18863 1.45543 1.01453 0.04205 0.56304 0.21703 0.47
21168 17.30000 1.32194 1.00843 0.04521 0.61497 0.21781 0.52
10157 17.78344 1.32576 0.97842 0.05984 0.60625 0.20243 0.54
16803 18.22071 2.85201 0.92345 0.09877 0.55624 0.18791 0.51
26923 18.32899 2.85877 0.90703 0.09950 0.56070 0.17906 0.51
21196 19.94885 1.39281 0.76313 0.06003 0.40891 0.16948 0.39
22682 15.44684 2.86692 1.03720 0.02404 0.54547 0.23014 0.50
7914 16.13759 1.43686 1.03349 0.02489 0.57889 0.22671 0.45
25644 16.31476 1.43548 1.03224 0.02571 0.56697 0.23048 0.45
23319 16.54439 1.43356 1.02975 0.02798 0.55433 0.23321 0.44
6171 16.79500 1.44920 1.02577 0.03186 0.56698 0.22223 0.44
61944 16.89370 1.43154 1.02348 0.03413 0.56019 0.23025 0.46
6218 17.02898 1.46127 1.02000 0.03749 0.55305 0.22044 0.46
6667 17.20239 1.46315 1.01411 0.04254 0.56236 0.21705 0.48
22782 17.37185 1.43226 1.00590 0.04837 0.57496 0.20846 0.47
24578 17.68690 1.45616 0.98675 0.05865 0.57036 0.20665 0.50
14925 17.74739 1.34003 0.98114 0.05916 0.58844 0.21110 0.53
15383 18.16132 1.38884 0.94648 0.06895 0.56532 0.20647 0.54
19338 18.96518 2.99004 0.79725 0.06728 0.53199 0.15945 0.51
5898 19.97685 1.40086 0.76080 0.05965 0.40919 0.16682 0.40
10532 19.98826 1.38884 0.75986 0.05967 0.40675 0.16620 0.39
