source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4041577900778328704,267.7285824046176,-34.62753112391961,0.015099309018047812,0.60774684,-9.296959114269551,0.71338284,-6.365552636592279,0.36124316,1.1175978,117.16169,19.400291,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778329728,267.7294997388017,-34.629156267361466,0.9870759722613478,1.0049273,-3.138475196310898,1.3008341,-2.18069619573165,0.84112746,1.4165819,89.82309,19.458904,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778370816,267.72538882412425,-34.62683460667076,,,,,,,,98.16029,19.65605,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778425984,267.7209270035875,-34.62988674232936,-3.532675298193289,0.69763064,-2.145213186793639,0.82765645,-8.871301506736604,0.50626284,1.0955415,133.15271,19.509083,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778429312,267.7216152185764,-34.62989133713323,,,,,,,,62.166023,19.846489,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778434048,267.72343984825045,-34.627543789322765,1.58570644925259,1.3304317,-3.9656608282420494,1.3651588,-1.2983810157947977,0.7285421,1.2920029,56.654278,19.766256,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778443904,267.7258036376326,-34.625702627398326,-0.3300057184360282,0.26469183,-5.536680774098467,0.26905286,-6.409703385723802,0.17345509,1.3951064,346.13858,18.464674,15.34404,39.29774,1.8557606,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577900778445440,267.7262153162076,-34.6275977163531,-0.24416182540303527,0.3949933,-0.8211303518069435,0.42235568,-6.799895575601585,0.2711843,3.8274508,300.4327,17.443214,62.437267,104.92502,1.5834827,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4041577905014160896,267.72581252760125,-34.62974259846589,,,,,,,,127.0639,19.41577,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905014180608,267.7233444804867,-34.62908621470929,,,,,,,,33.00467,19.853933,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905014182784,267.7236598045863,-34.62811065036224,,,,,,,,85.113075,19.868519,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905014182912,267.7236399904909,-34.62841994223417,,,,,,,,110.42183,19.844429,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905015918336,267.72206150873444,-34.63013230412381,,,,,,,,43.81209,19.921955,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905066297856,267.7287264979619,-34.62820888356394,-1.104915890800748,0.2566822,-2.663012093659286,0.26955798,-3.461979610872203,0.16571109,1.2306256,285.8982,18.526005,24.621616,39.446674,1.5038109,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905066300672,267.7248561517069,-34.631052494056746,-0.7683913450708373,0.36466733,-0.2110838091398706,0.42299548,-8.899363141336043,0.28985766,1.0217047,154.92133,19.348986,14.644302,7.3373156,1.191103,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905066308352,267.7269810034437,-34.627296110098825,0.38256347826006215,0.2352682,-3.4606071956232927,0.24998707,-4.064147530913422,0.15270121,1.0478778,425.46497,18.711695,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905066308480,267.7274084061327,-34.62802682908808,,,,,,,,51.81492,19.8428,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905066316672,267.7260859160234,-34.62796479714699,,,,,,,,44.332798,19.609617,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4041577905066316800,267.7248877322448,-34.62757260865136,0.029464823344288973,0.08638737,-2.560461385765772,0.091936134,-8.90209331575764,0.058632944,1.1763573,948.1639,16.777042,62.017975,156.27594,2.0096617,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4041577905066319744,267.72748764623077,-34.626390697390015,-0.1073955173285591,0.20289555,1.242971837757853,0.20051563,-4.118759240852516,0.12677537,1.0691646,454.3314,18.21202,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
